Filename,Source,Type,FOV,Name
dataScaleSize_lyophilizedmanual_ROI2.csv,LyophilizationTest_FigS2,dataScaleSize,FOV2,2_Lyophilized_manual
dataScaleSize_reimagedslide1_FOV1.csv,Reimagedslide_FigS5,dataScaleSize,FOV1,Reimaged_Slide1
dataScaleSize_reimagedslide1_FOV2.csv,Reimagedslide_FigS5,dataScaleSize,FOV2,Reimaged_Slide1
dataScaleSize_slide1_FOV1.csv,Reimagedslide_FigS5,dataScaleSize,FOV1,Slide1
dataScaleSize_slide1_FOV2.csv,Reimagedslide_FigS5,dataScaleSize,FOV2,Slide1
dataScaleSize_Slide1_edited_Liver1.csv,Stanford_MIBI_Liver,dataScaleSize,FOV1,Stanford_MIBI_Liver_1
dataScaleSize_Slide2_edited_Liver1.csv,Stanford_MIBI_Liver,dataScaleSize,FOV1,Stanford_MIBI_Liver_2
dataScaleSize_Slide3_edited_Liver1.csv,Stanford_MIBI_Liver,dataScaleSize,FOV1,Stanford_MIBI_Liver_3
dataScaleSize_Slide24_edited_Liver1.csv,Stanford_MIBI_Liver,dataScaleSize,FOV1,Stanford_MIBI_Liver_24
dataScaleSize_20CVC_Slide3_FOV1.csv,StorageConditionsExpt,dataScaleSize,FOV1,StorageConditionsExpt_3
dataScaleSize_20CVC_Slide3_FOV2.csv,StorageConditionsExpt,dataScaleSize,FOV2,StorageConditionsExpt_3
dataScaleSize_Fresh_Slide4_FOV1.csv,StorageConditionsExpt,dataScaleSize,FOV1,StorageConditionsExpt_4
dataScaleSize_Fresh_Slide4_FOV2.csv,StorageConditionsExpt,dataScaleSize,FOV2,StorageConditionsExpt_4
dataScaleSize_RTnoVC_Slide1_FOV1.csv,StorageConditionsExpt,dataScaleSize,FOV1,StorageConditionsExpt_1
dataScaleSize_RTnoVC_Slide1_FOV2.csv,StorageConditionsExpt,dataScaleSize,FOV2,StorageConditionsExpt_1
dataScaleSize_RTVC_Slide2_FOV1.csv,StorageConditionsExpt,dataScaleSize,FOV1,StorageConditionsExpt_2
dataScaleSize_RTVC_Slide2_FOV2.csv,StorageConditionsExpt,dataScaleSize,FOV2,StorageConditionsExpt_2
dataScaleSize_slide1_FOV1.csv,BIDMC_Tonsil,dataScaleSize,FOV1,BIDMC_Tonsil_1
dataScaleSize_slide2_FOV1.csv,BIDMC_Tonsil,dataScaleSize,FOV1,BIDMC_Tonsil_2
dataScaleSize_slide3_FOV1.csv,BIDMC_Tonsil,dataScaleSize,FOV1,BIDMC_Tonsil_3
dataScaleSize_slide4_FOV1.csv,BIDMC_Tonsil,dataScaleSize,FOV1,BIDMC_Tonsil_4
