"Source","Compare1","Compare2"
"BIDMC","BIDMC_Slide20","BIDMC_Slide7"
"BIDMC","BIDMC_Slide20","BIDMC_Slide8"
"BIDMC","BIDMC_Slide20","BIDMC_Slide9"
"BIDMC","BIDMC_Slide21","BIDMC_Slide22"
"BIDMC","BIDMC_Slide21","BIDMC_Slide23"
"BIDMC","BIDMC_Slide21","BIDMC_Slide24"
"BIDMC","BIDMC_Slide21","BIDMC_Slide2"
"BIDMC","BIDMC_Slide21","BIDMC_Slide3"
"BIDMC","BIDMC_Slide21","BIDMC_Slide4"
"BIDMC","BIDMC_Slide21","BIDMC_Slide5"
"BIDMC","BIDMC_Slide21","BIDMC_Slide6"
"BIDMC","BIDMC_Slide21","BIDMC_Slide7"
"BIDMC","BIDMC_Slide21","BIDMC_Slide8"
"BIDMC","BIDMC_Slide21","BIDMC_Slide9"
"BIDMC","BIDMC_Slide22","BIDMC_Slide23"
"BIDMC","BIDMC_Slide22","BIDMC_Slide24"
"BIDMC","BIDMC_Slide22","BIDMC_Slide2"
"BIDMC","BIDMC_Slide22","BIDMC_Slide3"
"BIDMC","BIDMC_Slide22","BIDMC_Slide4"
"BIDMC","BIDMC_Slide22","BIDMC_Slide5"
"BIDMC","BIDMC_Slide22","BIDMC_Slide6"
"BIDMC","BIDMC_Slide22","BIDMC_Slide7"
"BIDMC","BIDMC_Slide22","BIDMC_Slide8"
"BIDMC","BIDMC_Slide22","BIDMC_Slide9"
"BIDMC","BIDMC_Slide23","BIDMC_Slide24"
"BIDMC","BIDMC_Slide23","BIDMC_Slide2"
"BIDMC","BIDMC_Slide23","BIDMC_Slide3"
"BIDMC","BIDMC_Slide23","BIDMC_Slide4"
"BIDMC","BIDMC_Slide23","BIDMC_Slide5"
"BIDMC","BIDMC_Slide23","BIDMC_Slide6"
"BIDMC","BIDMC_Slide23","BIDMC_Slide7"
"BIDMC","BIDMC_Slide23","BIDMC_Slide8"
"BIDMC","BIDMC_Slide23","BIDMC_Slide9"
"BIDMC","BIDMC_Slide24","BIDMC_Slide2"
"BIDMC","BIDMC_Slide24","BIDMC_Slide3"
"BIDMC","BIDMC_Slide24","BIDMC_Slide4"
"BIDMC","BIDMC_Slide24","BIDMC_Slide5"
"BIDMC","BIDMC_Slide24","BIDMC_Slide6"
"BIDMC","BIDMC_Slide24","BIDMC_Slide7"
"BIDMC","BIDMC_Slide24","BIDMC_Slide8"
"BIDMC","BIDMC_Slide24","BIDMC_Slide9"
"BIDMC","BIDMC_Slide2","BIDMC_Slide3"
"BIDMC","BIDMC_Slide2","BIDMC_Slide4"
"BIDMC","BIDMC_Slide2","BIDMC_Slide5"
"BIDMC","BIDMC_Slide2","BIDMC_Slide6"
"BIDMC","BIDMC_Slide2","BIDMC_Slide7"
"BIDMC","BIDMC_Slide2","BIDMC_Slide8"
"BIDMC","BIDMC_Slide2","BIDMC_Slide9"
"BIDMC","BIDMC_Slide3","BIDMC_Slide4"
"BIDMC","BIDMC_Slide3","BIDMC_Slide5"
"BIDMC","BIDMC_Slide3","BIDMC_Slide6"
"BIDMC","BIDMC_Slide3","BIDMC_Slide7"
"BIDMC","BIDMC_Slide3","BIDMC_Slide8"
"BIDMC","BIDMC_Slide3","BIDMC_Slide9"
"BIDMC","BIDMC_Slide4","BIDMC_Slide5"
"BIDMC","BIDMC_Slide4","BIDMC_Slide6"
"BIDMC","BIDMC_Slide4","BIDMC_Slide7"
"BIDMC","BIDMC_Slide4","BIDMC_Slide8"
"BIDMC","BIDMC_Slide4","BIDMC_Slide9"
"BIDMC","BIDMC_Slide5","BIDMC_Slide6"
"BIDMC","BIDMC_Slide5","BIDMC_Slide7"
"BIDMC","BIDMC_Slide5","BIDMC_Slide8"
"BIDMC","BIDMC_Slide5","BIDMC_Slide9"
"BIDMC","BIDMC_Slide6","BIDMC_Slide7"
"BIDMC","BIDMC_Slide6","BIDMC_Slide8"
"BIDMC","BIDMC_Slide6","BIDMC_Slide9"
"BIDMC","BIDMC_Slide7","BIDMC_Slide8"
"BIDMC","BIDMC_Slide7","BIDMC_Slide9"
"BIDMC","BIDMC_Slide8","BIDMC_Slide9"
"Stanford","Stanford_Slide5","Stanford_Slide15"
"Stanford","Stanford_Slide5","Stanford_Slide16"
"Stanford","Stanford_Slide5","Stanford_Slide21"
"Stanford","Stanford_Slide5","Stanford_Slide22"
"Stanford","Stanford_Slide5","Stanford_Slide6"
"Stanford","Stanford_Slide5","Stanford_Slide23"
"Stanford","Stanford_Slide5","Stanford_Slide24"
"Stanford","Stanford_Slide5","Stanford_Slide7"
"Stanford","Stanford_Slide5","Stanford_Slide8"
"Stanford","Stanford_Slide5","Stanford_Slide13"
"Stanford","Stanford_Slide5","Stanford_Slide14"
"Stanford","Stanford_Slide15","Stanford_Slide16"
"Stanford","Stanford_Slide15","Stanford_Slide21"
"Stanford","Stanford_Slide15","Stanford_Slide22"
"Stanford","Stanford_Slide15","Stanford_Slide6"
"Stanford","Stanford_Slide15","Stanford_Slide23"
"Stanford","Stanford_Slide15","Stanford_Slide24"
"Stanford","Stanford_Slide15","Stanford_Slide7"
"Stanford","Stanford_Slide15","Stanford_Slide8"
"Stanford","Stanford_Slide15","Stanford_Slide13"
"Stanford","Stanford_Slide15","Stanford_Slide14"
"Stanford","Stanford_Slide16","Stanford_Slide21"
"Stanford","Stanford_Slide16","Stanford_Slide22"
"Stanford","Stanford_Slide16","Stanford_Slide6"
"Stanford","Stanford_Slide16","Stanford_Slide23"
"Stanford","Stanford_Slide16","Stanford_Slide24"
"Stanford","Stanford_Slide16","Stanford_Slide7"
"Stanford","Stanford_Slide16","Stanford_Slide8"
"Stanford","Stanford_Slide16","Stanford_Slide13"
"Stanford","Stanford_Slide16","Stanford_Slide14"
"Stanford","Stanford_Slide21","Stanford_Slide22"
"Stanford","Stanford_Slide21","Stanford_Slide6"
"Stanford","Stanford_Slide21","Stanford_Slide23"
"Stanford","Stanford_Slide21","Stanford_Slide24"
"Stanford","Stanford_Slide21","Stanford_Slide7"
"Stanford","Stanford_Slide21","Stanford_Slide8"
"Stanford","Stanford_Slide21","Stanford_Slide13"
"Stanford","Stanford_Slide21","Stanford_Slide14"
"Stanford","Stanford_Slide22","Stanford_Slide6"
"Stanford","Stanford_Slide22","Stanford_Slide23"
"Stanford","Stanford_Slide22","Stanford_Slide24"
"Stanford","Stanford_Slide22","Stanford_Slide7"
"Stanford","Stanford_Slide22","Stanford_Slide8"
"Stanford","Stanford_Slide22","Stanford_Slide13"
"Stanford","Stanford_Slide22","Stanford_Slide14"
"Stanford","Stanford_Slide6","Stanford_Slide23"
"Stanford","Stanford_Slide6","Stanford_Slide24"
"Stanford","Stanford_Slide6","Stanford_Slide7"
"Stanford","Stanford_Slide6","Stanford_Slide8"
"Stanford","Stanford_Slide6","Stanford_Slide13"
"Stanford","Stanford_Slide6","Stanford_Slide14"
"Stanford","Stanford_Slide23","Stanford_Slide24"
"Stanford","Stanford_Slide23","Stanford_Slide7"
"Stanford","Stanford_Slide23","Stanford_Slide8"
"Stanford","Stanford_Slide23","Stanford_Slide13"
"Stanford","Stanford_Slide23","Stanford_Slide14"
"Stanford","Stanford_Slide24","Stanford_Slide7"
"Stanford","Stanford_Slide24","Stanford_Slide8"
"Stanford","Stanford_Slide24","Stanford_Slide13"
"Stanford","Stanford_Slide24","Stanford_Slide14"
"Stanford","Stanford_Slide7","Stanford_Slide8"
"Stanford","Stanford_Slide7","Stanford_Slide13"
"Stanford","Stanford_Slide7","Stanford_Slide14"
"Stanford","Stanford_Slide8","Stanford_Slide13"
"Stanford","Stanford_Slide8","Stanford_Slide14"
"Stanford","Stanford_Slide13","Stanford_Slide14"
"B1_ASTAR_COMET_Tonsil","ASTAR_Tonsil_Tris_10min","ASTAR_Tonsil_Tris_20min"
"B1_ASTAR_COMET_Tonsil","ASTAR_Tonsil_Tris_10min","ASTAR_Tonsil_Tris_40min"
"B1_ASTAR_COMET_Tonsil","ASTAR_Tonsil_Tris_10min","ASTAR_Tonsil_Citra_20min"
"B1_ASTAR_COMET_Tonsil","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Tris_40min"
"B1_ASTAR_COMET_Tonsil","ASTAR_Tonsil_Tris_20min","ASTAR_Tonsil_Citra_20min"
"B1_ASTAR_COMET_Tonsil","ASTAR_Tonsil_Tris_40min","ASTAR_Tonsil_Citra_20min"
"B1_ASTAR_COMET_CRC","ASTAR_Colorectal_Tris_10min","ASTAR_Colorectal_Tris_20min"
"B1_ASTAR_COMET_CRC","ASTAR_Colorectal_Tris_10min","ASTAR_Colorectal_Tris_40min"
"B1_ASTAR_COMET_CRC","ASTAR_Colorectal_Tris_10min","ASTAR_Colorectal_Citra_20min"
"B1_ASTAR_COMET_CRC","ASTAR_Colorectal_Tris_20min","ASTAR_Colorectal_Tris_40min"
"B1_ASTAR_COMET_CRC","ASTAR_Colorectal_Tris_20min","ASTAR_Colorectal_Citra_20min"
"B1_ASTAR_COMET_CRC","ASTAR_Colorectal_Tris_40min","ASTAR_Colorectal_Citra_20min"
"B1_BIDMC_Tonsil","BIDMC_tonsil_31","BIDMC_tonsil_32"
"B1_BIDMC_Tonsil","BIDMC_tonsil_31","BIDMC_tonsil_33"
"B1_BIDMC_Tonsil","BIDMC_tonsil_31","BIDMC_tonsil_30"
"B1_BIDMC_Tonsil","BIDMC_tonsil_32","BIDMC_tonsil_33"
"B1_BIDMC_Tonsil","BIDMC_tonsil_32","BIDMC_tonsil_30"
"B1_BIDMC_Tonsil","BIDMC_tonsil_33","BIDMC_tonsil_30"
"B1_BIDMC_Lymph_node","BIDMC_LymphNode_1","BIDMC_LymphNode_2"
"B1_BIDMC_Lymph_node","BIDMC_LymphNode_1","BIDMC_LymphNode_3"
