"Source","Compare1","Compare2"
"BIDMC","BIDMC_19","BIDMC_23"
"BIDMC","BIDMC_19","BIDMC_24"
"BIDMC","BIDMC_19","BIDMC_2"
"BIDMC","BIDMC_19","BIDMC_3"
"BIDMC","BIDMC_19","BIDMC_4"
"BIDMC","BIDMC_19","BIDMC_5"
"BIDMC","BIDMC_19","BIDMC_6"
"BIDMC","BIDMC_19","BIDMC_7"
"BIDMC","BIDMC_19","BIDMC_8"
"BIDMC","BIDMC_19","BIDMC_9"
"BIDMC","BIDMC_1","BIDMC_20"
"BIDMC","BIDMC_1","BIDMC_21"
"BIDMC","BIDMC_1","BIDMC_22"
"BIDMC","BIDMC_1","BIDMC_23"
"BIDMC","BIDMC_1","BIDMC_24"
"BIDMC","BIDMC_1","BIDMC_2"
"BIDMC","BIDMC_1","BIDMC_3"
"BIDMC","BIDMC_1","BIDMC_4"
"BIDMC","BIDMC_1","BIDMC_5"
"BIDMC","BIDMC_1","BIDMC_6"
"BIDMC","BIDMC_1","BIDMC_7"
"BIDMC","BIDMC_1","BIDMC_8"
"BIDMC","BIDMC_1","BIDMC_9"
"BIDMC","BIDMC_20","BIDMC_21"
"BIDMC","BIDMC_20","BIDMC_22"
"BIDMC","BIDMC_20","BIDMC_23"
"BIDMC","BIDMC_20","BIDMC_24"
"BIDMC","BIDMC_20","BIDMC_2"
"BIDMC","BIDMC_20","BIDMC_3"
"BIDMC","BIDMC_20","BIDMC_4"
"BIDMC","BIDMC_20","BIDMC_5"
"BIDMC","BIDMC_20","BIDMC_6"
"BIDMC","BIDMC_20","BIDMC_7"
"BIDMC","BIDMC_20","BIDMC_8"
"BIDMC","BIDMC_20","BIDMC_9"
"BIDMC","BIDMC_21","BIDMC_22"
"BIDMC","BIDMC_21","BIDMC_23"
"BIDMC","BIDMC_21","BIDMC_24"
"BIDMC","BIDMC_21","BIDMC_2"
"BIDMC","BIDMC_21","BIDMC_3"
"BIDMC","BIDMC_21","BIDMC_4"
"BIDMC","BIDMC_21","BIDMC_5"
"BIDMC","BIDMC_21","BIDMC_6"
